Level,Date and Time,Source,Event ID,Task Category,Log Message
Error,4/4/2025 3:11:45 PM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay.
Error,4/4/2025 9:25:36 AM,Microsoft-Windows-DistributedCOM,10010,,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,4/4/2025 8:48:13 AM,Service Control Manager,7000,,"The l1vhlwf service failed to start due to the following error: 
A hypervisor feature is not available to the user."
Error,4/4/2025 3:00:29 AM,Microsoft-Windows-DeviceAssociationService,3503,(5000),Device Association Service detected an endpoint discovery failure.
Error,4/2/2025 2:05:53 PM,Microsoft-Windows-DistributedCOM,10010,,The server {338B40F9-9D68-4B53-A793-6B9AA0C5F63B} did not register with DCOM within the required timeout.
Error,4/2/2025 1:49:01 PM,Microsoft-Windows-DistributedCOM,10010,,The server {2DE3095A-B49E-418F-B5C1-69D2CCF62A8F} did not register with DCOM within the required timeout.
Error,4/2/2025 1:22:07 PM,Microsoft-Windows-WindowsUpdateClient,20,Windows Update Agent,Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MSSGKG348SP-MicrosoftWindows.Client.WebExperience.
Error,4/2/2025 2:11:51 AM,Microsoft-Windows-WER-SystemErrorReporting,1001,,"The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000009f (0x0000000000000003, 0xffffc605e84ece10, 0xffffd6068aa67a00, 0xffffc605ecad98f0). A dump was saved in: C:\WINDOWS\Minidump\040225-12671-01.dmp. Report Id: 0426c240-ce72-419e-9567-df44242f713a."
Error,4/2/2025 2:11:41 AM,volmgr,162,,Dump file generation succeded.
Error,4/2/2025 2:11:41 AM,volmgr,161,,Dump file creation failed due to error during dump creation. BugCheckProgress was: 0x00020063
Error,4/2/2025 2:11:52 AM,EventLog,6008,,The previous system shutdown at 2:02:40 AM on ‎4/‎2/‎2025 was unexpected.
Error,4/1/2025 11:21:05 PM,Microsoft-Windows-DistributedCOM,10010,,The server {354FF91B-5E49-4BDC-A8E6-1CB6C6877182} did not register with DCOM within the required timeout.
