Level,Date and Time,Source,Event ID,Task Category,Log Message
Information,4/4/2025 9:09:42 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 13 to 14.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 9:09:42 PM,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,4/4/2025 8:58:15 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 12 to 13.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 8:58:15 PM,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,4/4/2025 8:58:15 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 11 to 12.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 7:30:44 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\Users\ritam\AppData\Local\Packages\Microsoft.WindowsCalculator_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,4/4/2025 7:18:13 PM,Service Control Manager,7040,,The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information,4/4/2025 7:18:13 PM,Service Control Manager,7040,,The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information,4/4/2025 7:02:20 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 10 to 11.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 6:29:56 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 9 to 10.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 6:29:56 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 8 to 9.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 6:16:17 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\ProgramData\Packages\MSTeams_8wekyb3d8bbwe\S-1-5-21-2924747246-3930347400-3812659321-1001\SystemAppData\Helium\Cache\dcc6acf5224bd55b_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/4/2025 5:09:07 PM,Microsoft-Windows-Time-Service,158,,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,4/4/2025 4:08:19 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\Users\ritam\AppData\Local\Packages\Microsoft.OfficePushNotificationUtility_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 1 keys and creating 1 modified pages.
Information,4/4/2025 4:07:42 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.OfficePushNotificationUtility_16.0.18623.20156_neutral__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/4/2025 4:00:56 PM,Microsoft-Windows-WindowsUpdateClient,44,Windows Update Agent,Windows Update started downloading an update.
Information,4/4/2025 4:00:35 PM,Microsoft-Windows-Time-Service,37,,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->40.81.94.65:123)."
Information,4/4/2025 3:28:09 PM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.54.0) - Current Channel (Broad)
Information,4/4/2025 3:28:02 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.427.54.0) - Current Channel (Broad)
Information,4/4/2025 3:14:56 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\Users\ritam\AppData\Local\Packages\Microsoft.DesktopAppInstaller_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,4/4/2025 3:12:06 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsStore_22502.1401.11.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/4/2025 3:11:45 PM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9NZKPSTSNW4P-Microsoft.XboxGamingOverlay
Information,4/4/2025 3:11:44 PM,Microsoft-Windows-Kernel-General,16,,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxGamingOverlay_7.225.3271.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,4/4/2025 3:09:46 PM,BTHUSB,18,,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,4/4/2025 3:09:45 PM,Microsoft-Windows-Power-Troubleshooter,1,,"The system has returned from a low power state.

Sleep Time: ‎2025‎-‎04‎-‎04T08:36:35.081529100Z
Wake Time: ‎2025‎-‎04‎-‎04T09:39:44.782074900Z

Wake Source: Unknown"
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 6 to 8.

Reason PolicyChange 

BootId: 48"
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 5 to 6.

Reason SxTransition 

BootId: 48"
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,247,(99),"Unable to load Pluton-Windows firmware. StatusCode: STATUS_SUCCESS, Reason: Failed to apply firmware."
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x2.
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x0.
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,4/4/2025 3:09:44 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
