Level,Date and Time,Source,Event ID,Task Category,Log Message
Warning,4/4/2025 9:09:40 PM,Win32k,701,,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,4/4/2025 8:58:15 PM,Win32k,700,,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,4/4/2025 7:37:48 PM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user RITAM-ASUS\ritam SID (S-1-5-21-2924747246-3930347400-3812659321-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 3:11:54 PM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user RITAM-ASUS\ritam SID (S-1-5-21-2924747246-3930347400-3812659321-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_525.5100.40.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 9:25:40 AM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 9:25:40 AM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscDataProtection
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 9:25:40 AM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 8:48:16 AM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/4/2025 8:48:08 AM,Microsoft-Windows-Kernel-PnP,219,(212),"The driver \Driver\WUDFRd failed to load.
Device: USB\VID_2808&PID_A658\6&13c452c7&0&1
Status: 0xC0000365"
Warning,4/4/2025 3:00:30 AM,Microsoft-Windows-WLAN-AutoConfig,10002,,"WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\mtkihvx.dll
"
Warning,4/3/2025 7:51:47 PM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscCloudBackupProvider
 and APPID 
Unavailable
 to the user RITAM-ASUS\ritam SID (S-1-5-21-2924747246-3930347400-3812659321-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/3/2025 3:18:04 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 14628.
Warning,4/2/2025 4:06:07 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-s2-ring.msedge.net timed out after none of the configured DNS servers responded. Client PID 14748.
Warning,4/2/2025 2:14:09 AM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user RITAM-ASUS\ritam SID (S-1-5-21-2924747246-3930347400-3812659321-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_525.1301.30.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,4/1/2025 11:30:04 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 5908.
Warning,4/1/2025 8:20:48 PM,BTHUSB,6,,Only one active Bluetooth adapter is supported at a time.
Warning,4/1/2025 8:15:02 PM,Microsoft-Windows-USB-USBHUB3,196,Surprise Removal,"USB device draining system power when system is idle.             
             
USB Device: VID: 0xA12 PID: 0x1 REV: 0x8891             
Removal action failed: QueryRemovalInitiated"
Warning,4/1/2025 6:28:47 PM,BTHUSB,34,,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1fffffff.  Low Energy peripheral role functionality will not be available."
Warning,4/1/2025 3:52:18 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8748.
Warning,3/31/2025 3:28:56 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 14424.
Warning,3/31/2025 2:55:52 PM,Microsoft-Windows-DistributedCOM,10016,,"The machine-default permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{C2F03A33-21F5-47FA-B4BB-156362A2F239}
 and APPID 
{316CDED5-E4AE-4B15-9113-7055D84DCC97}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,3/31/2025 2:46:02 PM,Microsoft-Windows-DistributedCOM,10016,,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user RITAM-ASUS\ritam SID (S-1-5-21-2924747246-3930347400-3812659321-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.CBS_1000.26100.66.0_x64__cw5n1h2txyewy SID (S-1-15-2-283421221-3183566570-1718213290-751554359-3541592344-2312209569-3374928651). This security permission can be modified using the Component Services administrative tool."
Warning,3/31/2025 2:33:42 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-s2-ring.msedge.net timed out after none of the configured DNS servers responded. Client PID 14756.
Warning,3/31/2025 11:36:34 AM,BTHUSB,3,,A command sent to the adapter has timed out. The adapter did not respond.
Warning,3/31/2025 11:36:25 AM,Microsoft-Windows-USB-USBHUB3,196,Surprise Removal,"USB device draining system power when system is idle.             
             
USB Device: VID: 0x13D3 PID: 0x3563 REV: 0x100             
Removal action failed: QueryRemovalInitiated"
Warning,3/31/2025 10:34:39 AM,Microsoft-Windows-Time-Service,134,,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Warning,3/31/2025 12:47:11 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fallbacks2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8556.
Warning,3/30/2025 4:57:00 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8556.
Warning,3/30/2025 12:59:50 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name eastus-8.in.applicationinsights.azure.com timed out after none of the configured DNS servers responded. Client PID 3948.
Warning,3/29/2025 1:26:48 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 7224.
Warning,3/29/2025 1:15:07 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fallbacks2.msedge.net timed out after none of the configured DNS servers responded. Client PID 4496.
Warning,3/29/2025 1:14:56 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fallbacks2.msedge.net timed out after none of the configured DNS servers responded. Client PID 7224.
Warning,3/29/2025 12:38:19 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name www.gstatic.com timed out after none of the configured DNS servers responded. Client PID 18716.
Warning,3/27/2025 4:24:31 PM,Microsoft-Windows-USB-USBHUB3,196,Surprise Removal,"USB device draining system power when system is idle.             
             
USB Device: VID: 0x13D3 PID: 0x3563 REV: 0x100             
Removal action failed: SkippedAsRecentIoObservered"
Warning,3/27/2025 11:25:56 AM,Microsoft-Windows-USB-USBHUB3,196,Surprise Removal,"USB device draining system power when system is idle.             
             
USB Device: VID: 0x2808 PID: 0xA658 REV: 0x110             
Removal action failed: QueryRemovalInitiated"
Warning,3/26/2025 10:22:41 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-s2-ring.msedge.net timed out after none of the configured DNS servers responded. Client PID 14008.
Warning,3/26/2025 3:14:26 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 3308.
Warning,3/25/2025 2:34:55 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 3668.
Warning,3/24/2025 11:31:22 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name boot.net.anydesk.com timed out after none of the configured DNS servers responded. Client PID 5332.
Warning,3/24/2025 11:30:48 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded. Client PID 2344.
Warning,3/24/2025 11:27:31 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name hls-d33ef8.hollymoviehdcdn03.asia timed out after none of the configured DNS servers responded. Client PID 21160.
Warning,3/24/2025 11:27:07 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name collector.bsg.brave.com timed out after none of the configured DNS servers responded. Client PID 21160.
Warning,3/24/2025 11:25:59 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name catalog.gamepass.com timed out after none of the configured DNS servers responded. Client PID 9236.
Warning,3/24/2025 1:17:16 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 20436.
Warning,3/23/2025 11:08:42 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name api.github.com timed out after none of the configured DNS servers responded. Client PID 10596.
Warning,3/23/2025 11:08:41 AM,Microsoft-Windows-WLAN-AutoConfig,4003,,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,3/23/2025 11:08:05 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name hls-d33ef8.hollymoviehdcdn05.site timed out after none of the configured DNS servers responded. Client PID 10596.
Warning,3/23/2025 2:56:27 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 19580.
Warning,3/22/2025 10:04:08 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fallbacks2.msedge.net timed out after none of the configured DNS servers responded. Client PID 19580.
Warning,3/22/2025 2:35:34 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 11272.
Warning,3/21/2025 11:50:09 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-s1-ring.msedge.net timed out after none of the configured DNS servers responded. Client PID 11272.
Warning,3/20/2025 1:18:33 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-s2-ring.msedge.net timed out after none of the configured DNS servers responded. Client PID 8568.
Warning,3/19/2025 12:38:13 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8568.
Warning,3/18/2025 12:02:04 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 8876.
Warning,3/16/2025 9:56:52 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded. Client PID 2736.
Warning,3/16/2025 9:56:50 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name hls-d33ef8.hollymoviehdcdn05.site timed out after none of the configured DNS servers responded. Client PID 18876.
Warning,3/16/2025 9:56:45 PM,Microsoft-Windows-WLAN-AutoConfig,4003,,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 3
IP Family: 0
"
Warning,3/15/2025 4:15:36 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name activity.windows.com timed out after none of the configured DNS servers responded. Client PID 21552.
Warning,3/15/2025 4:15:32 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded. Client PID 2408.
Warning,3/15/2025 12:18:36 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name t-ring-fdv2.msedge.net timed out after none of the configured DNS servers responded. Client PID 9156.
Warning,3/13/2025 6:19:22 PM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name wpad timed out after none of the configured DNS servers responded. Client PID 11384.
